sex,age,weight,height,Overweight
M,63.28,47.6 kg,160.7,
M,64.5,47.8 kg,151.8,
F,60.28,34.1 kg,140,
F,61.5,36.5 kg,139.7,
F,65.28,31.9 kg,136.5,
F,66.5,32.9 kg,141.6,
M,40.19,53 kg,156.8,
F,50.29,42 kg,145.4,
F,51.33,41.3 kg,145.4,
M,35.5,63 kg,163.8,
F,32.5,38.2 kg,149.2,
M,27.56,55.5 kg,168.9,
F,19.5,34.9 kg,148,
M,53.28,53 kg,165.7,
M,55.49,54.5,165.1,
F,46.28,46.4,154.3,
F,47.5,49.9,154.3,
M,65.28,43.7,153.3,
M,66.56,41.2,151.1,
F,72.28,37.4,145.4,
F,73.5,36,144.8,
F,19.58,48.3,149.9,
F,20.86,47.7 kg,149.9,
F,21.11,48.4 kg,150.5,
F,59.56,33.8,150.5,
F,34.98,51.4,165.1,
F,36.2,48.6,163.2,
M,43.57,41.7,158.8,
M,44.86,42.3 kg,157.5,
F,30.27,38.4 kg,143.9,
F,31.51,39.9,143.5,
M,11.57,19.6,121.9,
M,12.79,22,125.1,
M,13.12,23.2,127.6,
F,7.27,13.9,105.4,
F,8.49,14.9,109.2,
F,8.56,14.9,109.2,
F,8.81,NA,110.2,
F,3.87,10.5,86.4,
F,5.11,12.1,92.1,
M,38.59,49,161.3,
M,39.81,49.6 kg,162.6,
F,28.29,42.7 kg,156.2,
F,29.51,49 kg,157.5,
M,11.89,23.6,129.5,
M,13.09,25,134.6,
M,13.42,NA,136.2,
F,6.59,16,109.2,
F,7.79,17.2 kg,117.5,
M,55.27,37.6,146.4,
F,44.27,42.6,148.6,
F,45.51,37.9,148.6,
F,19.5,35.5,147.3,
F,19.82,34.4,146.7,
M,16.27,27.3,137.2,
M,17.56,30.8,139.7,
M,17.82,31.9,141.6,
F,15.27,22.7,125.7,
F,16.49,NA,131.4,
F,16.81,26.1,131.7,
M,10.27,17.9,114.3,
M,11.49,19.2,118.1,
M,29.5,40.3,148,
M,29.52,55.1,161.9,
F,24.52,NA,146.1,
F,35.55,38.5,146.1,
F,32.17,46.6,152.7,
F,33.39,48,152.4,
F,27.52,38.8,142.9,
F,31.49,NA,142.9,
F,36.19,47.4,148,
F,36.51,47.8,148,
M,24.5,47.9,160.7,
M,24.56,50.9,161.3,
M,30.81,NA,151.8,
M,51.27,43.7,163.2,
M,52,56.6,171.5,
M,52.81,49.4,162.9,
F,41.27,39.1,147.3,
F,42.81,39.3,147.6,
F,19.51,49.9,148,
F,16.27,28.8,144.8,
F,17.98,37.2,148.6,
M,7.27,NA,121.9,
M,8.81,24 kg,127.6,
F,11.27,23.4 kg,128.9,
F,12.81,30.4 kg,137.2,
F,5.71,13.3 kg,97.8,
F,5.71,13.3 kg,97.8,
M,54.27,40 kg,154.9,
M,55.49,41.2 kg,154.3,
F,42.26,38.6,143.5,
F,43.5,NA,143.5,
M,19.57,NA,146.7,
M,19.81,NA,146.7,
F,17.81,44.7,157.5,
M,12.56,22,127,
M,14.11,24.3,129.5,
M,13.81,24.5,128.3,
